"channel_id","channel_type"
"1","OWN CHANNEL"
"2","OWN CHANNEL"
"3","OWN CHANNEL"
"4","OWN CHANNEL"
"5","MARKETPLACE"
"6","OWN CHANNEL"
"7","OWN CHANNEL"
"8","OWN CHANNEL"
"9","OWN CHANNEL"
"10","OWN CHANNEL"
"11","OWN CHANNEL"
"12","MARKETPLACE"
"13","MARKETPLACE"
"15","MARKETPLACE"
"17","MARKETPLACE"
"20","MARKETPLACE"
"21","MARKETPLACE"
"23","MARKETPLACE"
"24","MARKETPLACE"
"25","MARKETPLACE"
"28","MARKETPLACE"
"29","MARKETPLACE"
"30","MARKETPLACE"
"31","MARKETPLACE"
"32","MARKETPLACE"
"33","MARKETPLACE"
"34","MARKETPLACE"
"35","MARKETPLACE"
"36","OWN CHANNEL"
"37","MARKETPLACE"
"38","MARKETPLACE"
"39","MARKETPLACE"
"41","MARKETPLACE"
"42","MARKETPLACE"
"43","MARKETPLACE"
"44","OWN CHANNEL"
"46","OWN CHANNEL"
"47","MARKETPLACE"
"48","MARKETPLACE"
"49","OWN CHANNEL"
