"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"3","2","FOOD","0",,
"6","3","FOOD","0","-30.037415","-51.20352"
"8","3","FOOD","0","-30.037415","-51.20352"
"53","8","FOOD","0","-22.921474","-43.23482"
"54","8","FOOD","0","-22.921474","-43.23482"
"56","8","FOOD","49","-22.921474","-43.23482"
"58","8","FOOD","49","-22.921474","-43.23482"
"82","8","FOOD","0","-22.921474","-43.23482"
"83","8","FOOD","0","-22.921474","-43.23482"
"84","8","FOOD","49","-22.921474","-43.23482"
"85","8","FOOD","0","-22.921474","-43.23482"
"88","8","GOOD","0","-22.921474","-43.23482"
"89","8","FOOD","49","-22.921474","-43.23482"
"90","8","FOOD","49","-22.921474","-43.23482"
"95","8","FOOD","49","-22.921474","-43.23482"
"96","5","FOOD","0","-23.00075","-43.318363"
"99","8","FOOD","0","-22.921474","-43.23482"
"100","8","FOOD","49","-22.921474","-43.23482"
"122","4","GOOD","0",,
"141","8","FOOD","0","-22.921474","-43.23482"
"144","8","FOOD","49","-22.921474","-43.23482"
"149","8","FOOD","0","-22.921474","-43.23482"
"164","8","GOOD","0","-22.921474","-43.23482"
"187","13","FOOD","49","-22.88582","-43.279217"
"189","13","FOOD","49","-22.88582","-43.279217"
"191","13","FOOD","49","-22.88582","-43.279217"
"228","8","GOOD","0","-22.924145","-43.236343"
"232","16","FOOD","0","-23.017473","-43.47994"
"236","13","FOOD","0","-22.88582","-43.279217"
"245","18","FOOD","0","-22.945496","-43.182182"
"261","18","FOOD","49","-22.945496","-43.182182"
"264","8","GOOD","0","-22.924145","-43.236343"
"274","16","FOOD","0","-23.017473","-43.47994"
"294","13","FOOD","0","-22.88582","-43.279217"
"295","8","GOOD","29","-22.921474","-43.23482"
"311","13","GOOD","29","-22.88582","-43.279217"
"321","17","FOOD","0","-23.592005","-46.636505"
"339","17","FOOD","49","-23.592005","-46.636505"
"342","13","GOOD","0",,
"345","13","FOOD","49","-22.886099","-43.27955"
"356","21","FOOD","49","-23.550407","-46.697315"
"357","22","FOOD","0","-23.000753","-43.38377"
"361","22","FOOD","0","-23.000753","-43.38377"
"365","20","FOOD","49","-22.996847","-43.3612"
"366","20","FOOD","49","-22.996847","-43.3612"
"367","20","FOOD","49","-22.996847","-43.3612"
"370","20","FOOD","49","-22.996847","-43.3612"
"371","20","FOOD","0","-22.996847","-43.3612"
"373","20","FOOD","49","-22.996847","-43.3612"
"377","20","GOOD","0","-23.000753","-43.38377"
